row_id,workflow_type,task_count,instance,actual_num_tasks,num_edges,dag_depth,max_parallel_width,critical_path_tasks,num_task_categories,total_input_bytes,platform_name,num_hosts,cores_per_host,total_cores,speed_gf,net_bw,net_lat,disk_bw,watt_idle,watt_busy,makespan_sec,energy_joules
37edc86db2,Genome,150,10,148,221,3,83,3,4,104708274972,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,106.1968,9569.06
1bc7d0679b,Genome,150,10,148,221,3,83,3,4,104708274972,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,104.8738,7639.67
2e8628c86e,Genome,150,10,148,221,3,83,3,4,104708274972,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,104.8276,14154.05
5613d3e42b,Genome,200,1,198,294,3,106,3,4,139994708087,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,140.9378,3227.02
8d3d2cadb0,Genome,200,1,198,294,3,106,3,4,139994708087,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,141.2927,12731.44
6d29776407,Genome,200,1,198,294,3,106,3,4,139994708087,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,140.1481,10209.25
4c0ffb1ed4,Genome,200,1,198,294,3,106,3,4,139994708087,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,140.0989,18916.44
7c21e79198,Genome,200,1,198,294,3,106,3,4,139994708087,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,140.0977,63049.47
6ca6e89e84,Genome,200,2,198,296,3,109,3,4,138529542883,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,139.4927,3212.33
3f0ad6a8d6,Genome,200,2,198,296,3,109,3,4,138529542883,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,139.7061,12597.9
3544056c77,Genome,200,2,198,296,3,109,3,4,138529542883,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,138.7173,10105.63
51c4794cd4,Genome,200,2,198,296,3,109,3,4,138529542883,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,138.6473,18720.73
b2f8145d77,Genome,200,2,198,296,3,109,3,4,138529542883,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,138.6457,62396.52
2a3d674bc7,Genome,200,3,198,292,3,107,3,4,139663124761,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,141.1213,3228.55
79c7f45a79,Genome,200,3,198,292,3,107,3,4,139663124761,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,141.4451,12743.84
f41e939307,Genome,200,3,198,292,3,107,3,4,139663124761,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,139.8777,10189.49
cdff551993,Genome,200,3,198,292,3,107,3,4,139663124761,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,139.815,18878.08
1385e3bb1a,Genome,200,3,198,292,3,107,3,4,139663124761,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,139.8135,62921.53
69c1c8319e,Genome,200,4,198,309,3,111,3,4,133748781229,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,134.7656,3113.43
7b49504eca,Genome,200,4,198,309,3,111,3,4,133748781229,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,134.8087,12161.46
9b60f4270c,Genome,200,4,198,309,3,111,3,4,133748781229,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,133.9122,9755.9
c539743973,Genome,200,4,198,309,3,111,3,4,133748781229,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,133.8799,18077.18
199327524e,Genome,200,4,198,309,3,111,3,4,133748781229,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,133.8787,60251.47
7161795a97,Genome,200,5,198,297,3,108,3,4,154119354007,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,155.1311,3553.1
e7df8093d8,Genome,200,5,198,297,3,108,3,4,154119354007,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,155.1218,13978.38
15a6a67364,Genome,200,5,198,297,3,108,3,4,154119354007,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,154.3501,11243.84
6a4e373cef,Genome,200,5,198,297,3,108,3,4,154119354007,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,154.2707,20829.96
f03b4f75e8,Genome,200,5,198,297,3,108,3,4,154119354007,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,154.2689,69427.07
5de8f30f2e,Genome,200,6,198,293,3,106,3,4,139258143627,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,140.4335,3224.6
319f79bad6,Genome,200,6,198,293,3,106,3,4,139258143627,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,140.7488,12687.08
430256a5bd,Genome,200,6,198,293,3,106,3,4,139258143627,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,139.4446,10158.31
89d8784e06,Genome,200,6,198,293,3,106,3,4,139258143627,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,139.3855,18820.27
de1052ea57,Genome,200,6,198,293,3,106,3,4,139258143627,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,139.384,62728.54
6dc2a48599,Genome,200,7,198,298,3,108,3,4,140058040810,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,140.9216,3248.54
ed2a1c11c0,Genome,200,7,198,298,3,108,3,4,140058040810,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,141.0775,12723.29
fe079f7acc,Genome,200,7,198,298,3,108,3,4,140058040810,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,140.1856,10212.7
fd61fb37ce,Genome,200,7,198,298,3,108,3,4,140058040810,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,140.1685,18926.18
63879b34fe,Genome,200,7,198,298,3,108,3,4,140058040810,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,140.1674,63081.46
4b6a4d2ed3,Genome,200,8,198,292,3,108,3,4,152243042786,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,153.4309,3516.24
06dbd8e0c7,Genome,200,8,198,292,3,108,3,4,152243042786,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,153.7035,13851.42
d99334946e,Genome,200,8,198,292,3,108,3,4,152243042786,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,152.4103,11102.61
9a74c5c22e,Genome,200,8,198,292,3,108,3,4,152243042786,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,152.352,20570.93
6e72fa8abc,Genome,200,8,198,292,3,108,3,4,152243042786,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,152.3522,68564.57
5edb4cff94,Genome,200,9,198,300,3,111,3,4,141958297020,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,143.0154,3296.99
3ffc1428de,Genome,200,9,198,300,3,111,3,4,141958297020,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,143.0229,12898.95
bc32138c51,Genome,200,9,198,300,3,111,3,4,141958297020,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,142.1159,10353.33
bde26440b5,Genome,200,9,198,300,3,111,3,4,141958297020,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,142.07,19182.93
2db0f76649,Genome,200,9,198,300,3,111,3,4,141958297020,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,142.069,63937.27
96931696c9,Genome,200,10,198,306,3,110,3,4,149928547424,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,150.8746,3439.33
d779a6004a,Genome,200,10,198,306,3,110,3,4,149928547424,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,151.0436,13602.5
95b34bbb3e,Genome,200,10,198,306,3,110,3,4,149928547424,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,150.066,10931.23
3234911220,Genome,200,10,198,306,3,110,3,4,149928547424,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,150.0289,20256.98
b580c9b9dc,Genome,200,10,198,306,3,110,3,4,149928547424,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,150.0262,67517.27
dad61d0a70,Genome,250,1,248,324,3,156,3,4,261516988943,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,262.3578,5886.34
